"Aaden"	["Red Sox", 53, 23]
"Amari"	["Red Sox", 41, 39]
"Amaya"	["Cardinals", 30, 48]
"Amber"	["Cardinals", 25, 53]
"Ameer"	["Red Sox", 47, 30]
"Amelia"	["Red Sox", 53, 26]
"Amelie"	["Cardinals", 23, 56]
"America"	["Red Sox", 46, 29]
"Amina"	["Red Sox", 47, 34]
"Amir"	["Red Sox", 40, 19]
"Amira"	["Red Sox", 47, 18]
"Amirah"	["Red Sox", 49, 28]
"Amiya"	["Red Sox", 48, 34]
"Amiyah"	["Cardinals", 40, 49]
"Amos"	["Red Sox", 51, 29]
"Amy"	["Red Sox", 69, 23]
"Amya"	["Red Sox", 43, 27]
"Ana"	["Cardinals", 24, 42]
"Anabel"	["Red Sox", 38, 31]
"Anabella"	["Red Sox", 46, 26]
"Anabelle"	["Red Sox", 37, 43]
"Anahi"	["Cardinals", 37, 44]
"Analia"	["Cardinals", 32, 46]
"Anastasia"	["Red Sox", 39, 31]
"Anaya"	["Red Sox", 47, 27]
"Anders"	["Red Sox", 43, 31]
"Anderson"	["Cardinals", 37, 46]
"Andre"	["Cardinals", 28, 47]
"Andrea"	["Cardinals", 13, 47]
"Andres"	["Red Sox", 49, 28]
"Andrew"	["Cardinals", 29, 50]
"Andy"	["Cardinals", 31, 46]
"Angel"	["Red Sox", 50, 27]
"Angela"	["Cardinals", 34, 47]
"Angelica"	["Red Sox", 41, 34]
"Angelina"	["Cardinals", 30, 48]
"Angeline"	["Red Sox", 35, 27]
"Angelique"	["Red Sox", 56, 31]
"Angelo"	["Red Sox", 48, 20]
"Angie"	["Red Sox", 50, 28]
"Anika"	["Red Sox", 48, 35]
"Aniya"	["Red Sox", 42, 25]
"Aniyah"	["Red Sox", 49, 28]
"Ann"	["Red Sox", 30, 34]
"Anna"	["Cardinals", 29, 43]
"Annabel"	["Red Sox", 45, 22]
"Annabell"	["Red Sox", 43, 24]
"Annabella"	["Red Sox", 43, 34]
"Annabelle"	["Cardinals", 35, 46]
"Annalee"	["Cardinals", 29, 57]
"Annalise"	["Cardinals", 35, 49]
"Anne"	["Red Sox", 57, 36]
"Annie"	["Red Sox", 44, 29]
"Annika"	["Red Sox", 43, 20]
"Ansley"	["Red Sox", 54, 42]
"Anthony"	["Cardinals", 26, 49]
"Antoine"	["Cardinals", 25, 48]
"Anton"	["Red Sox", 55, 31]
"Antonio"	["Cardinals", 22, 56]
"Anya"	["Red Sox", 54, 30]
"Apollo"	["Cardinals", 27, 38]
"April"	["Red Sox", 40, 26]
"Arabella"	["Cardinals", 19, 48]
"Araceli"	["Cardinals", 26, 42]
"Archer"	["Cardinals", 29, 39]
"Arely"	["Cardinals", 25, 50]
"Ari"	["Red Sox", 44, 35]
"Aria"	["Red Sox", 35, 29]
"Ariah"	["Cardinals", 32, 37]
"Arian"	["Cardinals", 36, 49]
"Ariana"	["Red Sox", 54, 41]
"Arianna"	["Red Sox", 54, 30]
"Ariel"	["Cardinals", 24, 51]
"Ariella"	["Cardinals", 26, 52]
"Arielle"	["Cardinals", 24, 57]
"Arjun"	["Red Sox", 40, 23]
"Arlo"	["Red Sox", 35, 22]
"Armando"	["Red Sox", 40, 25]
"Armani"	["Red Sox", 43, 36]
"Arnav"	["Red Sox", 41, 20]
"Aron"	["Red Sox", 49, 27]
"Arthur"	["Cardinals", 26, 45]
"Arturo"	["Red Sox", 43, 29]
"Arya"	["Cardinals", 29, 48]
"Aryan"	["Cardinals", 37, 59]
"Aryana"	["Cardinals", 16, 59]
"Aryanna"	["Cardinals", 34, 51]
"Asa"	["Red Sox", 52, 30]
"Asher"	["Red Sox", 47, 33]
"Ashley"	["Cardinals", 28, 57]
"Ashlyn"	["Red Sox", 64, 32]
"Ashlynn"	["Red Sox", 62, 29]
"Ashton"	["Cardinals", 27, 49]
"Ashtyn"	["Cardinals", 29, 42]
"Asia"	["Red Sox", 48, 33]
"Aspen"	["Cardinals", 32, 67]
"Athena"	["Red Sox", 49, 30]
"Atticus"	["Red Sox", 48, 34]
"Aubree"	["Red Sox", 46, 34]
"Aubrey"	["Red Sox", 37, 27]
"Aubri"	["Red Sox", 52, 34]
"Aubriana"	["Cardinals", 28, 36]
"Aubrianna"	["Cardinals", 26, 50]
"Aubrie"	["Red Sox", 45, 40]
"Aubrielle"	["Red Sox", 55, 34]
"Audrey"	["Cardinals", 26, 45]
"Audriana"	["Red Sox", 45, 21]
"Audrianna"	["Red Sox", 45, 27]
"Audrina"	["Red Sox", 60, 37]
"August"	["Red Sox", 51, 25]
"Augustine"	["Red Sox", 54, 33]
"Augustus"	["Cardinals", 22, 54]
"Aurora"	["Cardinals", 30, 49]
"Austin"	["Red Sox", 48, 28]
"Austyn"	["Red Sox", 42, 24]
"Autumn"	["Cardinals", 32, 47]
"Ava"	["Red Sox", 45, 38]
"Avah"	["Red Sox", 42, 30]
"Averi"	["Cardinals", 27, 50]
"Averie"	["Red Sox", 44, 30]
"Avery"	["Cardinals", 35, 38]
"Aviana"	["Red Sox", 41, 44]
"Avianna"	["Cardinals", 26, 40]
"Axel"	["Cardinals", 35, 52]
"Axton"	["Cardinals", 20, 59]
"Aya"	["Red Sox", 48, 36]
"Ayaan"	["Red Sox", 50, 29]
"Ayana"	["Red Sox", 40, 44]
"Ayanna"	["Cardinals", 32, 53]
"Aydan"	["Cardinals", 25, 40]
"Ayden"	["Cardinals", 24, 51]
"Aydin"	["Cardinals", 31, 54]
"Ayla"	["Red Sox", 53, 29]
"Ayleen"	["Red Sox", 47, 32]
"Aylin"	["Cardinals", 31, 41]
"Azalea"	["Cardinals", 30, 46]
"Azaria"	["Red Sox", 59, 31]
"Azariah"	["Red Sox", 50, 31]
"Bailee"	["Red Sox", 50, 26]
"Bailey"	["Cardinals", 21, 63]
"Barbara"	["Red Sox", 46, 31]
"Barrett"	["Cardinals", 21, 59]
"Baylee"	["Red Sox", 48, 37]
"Bayleigh"	["Cardinals", 32, 60]
"Beatrice"	["Cardinals", 34, 37]
"Beau"	["Cardinals", 23, 52]
"Beckett"	["Cardinals", 32, 44]
"Beckham"	["Cardinals", 30, 48]
"Belen"	["Red Sox", 48, 29]
"Bella"	["Cardinals", 33, 45]
"Ben"	["Cardinals", 36, 53]
"Benjamin"	["Cardinals", 26, 47]
"Bennett"	["Red Sox", 35, 38]
"Benson"	["Cardinals", 20, 58]
"Bentlee"	["Cardinals", 26, 36]
"Bentley"	["Cardinals", 34, 49]
"Bently"	["Cardinals", 28, 51]
"Benton"	["Red Sox", 48, 27]
"Bethany"	["Cardinals", 28, 59]
"Bianca"	["Red Sox", 48, 30]
"Billy"	["Cardinals", 31, 39]
"Blaine"	["Cardinals", 36, 47]
"Blair"	["Red Sox", 45, 29]
"Blaise"	["Cardinals", 29, 46]
"Blake"	["Cardinals", 28, 48]
"Blakely"	["Red Sox", 49, 27]
"Blaze"	["Cardinals", 30, 57]
"Bo"	["Cardinals", 40, 51]
"Bobby"	["Cardinals", 26, 55]
"Bodhi"	["Red Sox", 60, 36]
"Boston"	["Red Sox", 44, 28]
"Bowen"	["Red Sox", 44, 34]
"Braden"	["Cardinals", 31, 50]
"Bradley"	["Red Sox", 34, 22]
"Brady"	["Cardinals", 38, 48]
"Bradyn"	["Cardinals", 32, 49]
"Braeden"	["Red Sox", 53, 33]
"Braelyn"	["Red Sox", 47, 32]
"Braelynn"	["Cardinals", 28, 46]
"Braiden"	["Cardinals", 21, 55]
"Branden"	["Red Sox", 59, 27]
"Brandon"	["Red Sox", 37, 30]
"Branson"	["Cardinals", 15, 52]
"Brantley"	["Red Sox", 41, 28]
"Braxton"	["Cardinals", 34, 49]
"Brayan"	["Cardinals", 22, 44]
"Brayden"	["Cardinals", 37, 50]
"Braydon"	["Cardinals", 29, 45]
"Braylee"	["Red Sox", 47, 30]
"Braylen"	["Red Sox", 48, 27]
"Braylon"	["Red Sox", 40, 27]
"Breanna"	["Red Sox", 36, 28]
"Brecken"	["Cardinals", 36, 54]
"Bree"	["Cardinals", 29, 59]
"Brenda"	["Cardinals", 22, 60]
"Brendan"	["Cardinals", 25, 66]
"Brenden"	["Red Sox", 50, 28]
"Brendon"	["Cardinals", 24, 53]
"Brenna"	["Cardinals", 34, 52]
"Brennan"	["Red Sox", 47, 33]
"Brennen"	["Cardinals", 27, 44]
"Brent"	["Cardinals", 32, 46]
"Brentley"	["Red Sox", 61, 33]
"Brenton"	["Cardinals", 27, 62]
"Brett"	["Red Sox", 45, 35]
"Bria"	["Red Sox", 48, 29]
"Brian"	["Red Sox", 46, 30]
"Briana"	["Red Sox", 42, 23]
"Brianna"	["Cardinals", 20, 44]
"Brice"	["Red Sox", 39, 23]
"Bridger"	["Red Sox", 47, 32]
"Bridget"	["Red Sox", 43, 24]
"Briella"	["Cardinals", 31, 49]
"Brielle"	["Cardinals", 38, 58]
"Briggs"	["Cardinals", 19, 56]
"Briley"	["Cardinals", 22, 50]
"Brinley"	["Red Sox", 45, 17]
"Brisa"	["Red Sox", 50, 32]
"Bristol"	["Red Sox", 35, 31]
"Britney"	["Red Sox", 38, 28]
"Brittany"	["Red Sox", 50, 34]
"Brock"	["Cardinals", 29, 60]
"Broderick"	["Cardinals", 31, 54]
"Brodie"	["Cardinals", 43, 61]
"Brody"	["Red Sox", 45, 34]
"Brogan"	["Cardinals", 21, 70]
"Bronson"	["Red Sox", 52, 22]
"Brooke"	["Cardinals", 29, 53]
"Brooklyn"	["Cardinals", 33, 54]
"Brooklynn"	["Red Sox", 40, 22]
"Brooks"	["Red Sox", 47, 18]
"Bruce"	["Cardinals", 25, 50]
"Bruno"	["Cardinals", 40, 69]
"Bryan"	["Cardinals", 34, 53]
"Bryanna"	["Red Sox", 41, 35]
"Bryant"	["Cardinals", 39, 48]
"Bryce"	["Red Sox", 51, 24]
"Brycen"	["Red Sox", 46, 24]
"Brylee"	["Red Sox", 52, 31]
"Bryleigh"	["Cardinals", 32, 47]
"Bryn"	["Cardinals", 31, 56]
"Brynlee"	["Red Sox", 51, 29]
"Brynn"	["Cardinals", 29, 54]
"Bryson"	["Red Sox", 54, 19]
"Byron"	["Cardinals", 26, 48]
"Cade"	["Cardinals", 29, 52]
"Caden"	["Red Sox", 54, 25]
"Cadence"	["Red Sox", 37, 24]
"Cael"	["Cardinals", 28, 46]
"Caiden"	["Red Sox", 41, 23]
"Cailyn"	["Cardinals", 21, 42]
"Cain"	["Cardinals", 24, 59]
"Caitlin"	["Red Sox", 59, 31]
"Caitlyn"	["Cardinals", 25, 41]
"Cale"	["Red Sox", 45, 21]
"Caleb"	["Red Sox", 53, 29]
"Cali"	["Cardinals", 27, 47]
"Callan"	["Cardinals", 32, 60]
"Callen"	["Red Sox", 63, 29]
"Callie"	["Red Sox", 40, 18]
"Callum"	["Cardinals", 27, 57]
"Calvin"	["Red Sox", 52, 32]
"Cambria"	["Red Sox", 36, 39]
"Camden"	["Cardinals", 27, 40]
"Camdyn"	["Cardinals", 33, 47]
"Cameron"	["Cardinals", 30, 56]
"Camila"	["Red Sox", 51, 29]
"Camilla"	["Cardinals", 31, 52]
"Camille"	["Red Sox", 47, 30]
"Camilo"	["Cardinals", 41, 47]
"Campbell"	["Cardinals", 34, 40]
"Camren"	["Red Sox", 53, 30]
"Camron"	["Cardinals", 34, 50]
"Camryn"	["Red Sox", 47, 30]
"Cannon"	["Red Sox", 42, 29]
"Cara"	["Cardinals", 29, 48]
"Carissa"	["Red Sox", 52, 26]
"Carl"	["Red Sox", 40, 31]
"Carla"	["Cardinals", 30, 48]
"Carlee"	["Red Sox", 45, 30]
"Carleigh"	["Red Sox", 56, 25]
"Carley"	["Cardinals", 30, 53]
"Carlie"	["Cardinals", 23, 50]
"Carlos"	["Cardinals", 23, 39]
"Carly"	["Cardinals", 23, 54]
"Carmelo"	["Cardinals", 35, 52]
"Carmen"	["Red Sox", 45, 27]
"Carolina"	["Red Sox", 52, 26]
"Caroline"	["Red Sox", 45, 32]
"Carolyn"	["Red Sox", 44, 32]
"Carson"	["Red Sox", 44, 34]
"Carter"	["Red Sox", 56, 33]
"Case"	["Red Sox", 47, 43]
"Casen"	["Red Sox", 47, 34]
"Casey"	["Cardinals", 34, 53]
"Cash"	["Cardinals", 25, 54]
"Cason"	["Cardinals", 26, 52]
"Cassandra"	["Cardinals", 31, 52]
"Cassidy"	["Red Sox", 42, 26]
"Cassius"	["Cardinals", 24, 56]
"Cataleya"	["Cardinals", 29, 55]
"Catalina"	["Red Sox", 57, 35]
"Catherine"	["Red Sox", 49, 33]
"Cayden"	["Red Sox", 43, 31]
"Caylee"	["Red Sox", 36, 25]
"Cayson"	["Red Sox", 47, 28]
"Cecelia"	["Cardinals", 22, 56]
"Cecilia"	["Red Sox", 50, 31]
"Cedric"	["Red Sox", 38, 37]
"Celeste"	["Red Sox", 55, 28]
"Celia"	["Red Sox", 57, 33]
"Celine"	["Cardinals", 29, 57]
"Cesar"	["Red Sox", 52, 32]
"Chace"	["Red Sox", 56, 36]
"Chad"	["Red Sox", 36, 33]
"Chaim"	["Red Sox", 44, 24]
"Chana"	["Red Sox", 52, 37]
"Chance"	["Cardinals", 32, 50]
"Chandler"	["Red Sox", 47, 23]
"Chanel"	["Red Sox", 43, 40]
"Channing"	["Red Sox", 53, 38]
"Charity"	["Red Sox", 47, 30]
"Charlee"	["Cardinals", 34, 50]
"Charleigh"	["Red Sox", 61, 29]
"Charles"	["Red Sox", 38, 28]
"Charley"	["Red Sox", 49, 28]
"Charli"	["Cardinals", 21, 52]
"Charlie"	["Cardinals", 30, 45]
"Charlize"	["Cardinals", 37, 38]
"Charlotte"	["Cardinals", 20, 45]
"Chase"	["Cardinals", 24, 51]
"Chaya"	["Red Sox", 42, 31]
"Chelsea"	["Red Sox", 50, 24]
"Cherish"	["Cardinals", 33, 47]
"Cheyanne"	["Red Sox", 50, 34]
"Cheyenne"	["Red Sox", 49, 24]
"Chloe"	["Cardinals", 26, 72]
"Chris"	["Red Sox", 49, 31]
"Christian"	["Red Sox", 46, 32]
"Christina"	["Cardinals", 23, 63]
"Christine"	["Cardinals", 29, 55]
"Christopher"	["Red Sox", 41, 29]
"Ciara"	["Cardinals", 15, 56]
"Cindy"	["Cardinals", 25, 45]
"Claire"	["Red Sox", 48, 31]
"Clara"	["Cardinals", 33, 36]
"Clare"	["Red Sox", 39, 29]
"Clarissa"	["Cardinals", 28, 51]
"Clark"	["Cardinals", 37, 62]
"Claudia"	["Cardinals", 31, 38]
"Clay"	["Red Sox", 50, 31]
"Clayton"	["Red Sox", 51, 26]
"Clinton"	["Red Sox", 52, 24]
"Cody"	["Cardinals", 33, 50]
"Cohen"	["Cardinals", 27, 43]
"Colby"	["Red Sox", 51, 31]
"Cole"	["Red Sox", 51, 32]
"Coleman"	["Cardinals", 26, 51]
"Colette"	["Red Sox", 52, 28]
"Colin"	["Red Sox", 45, 32]
"Collin"	["Cardinals", 22, 62]
"Collins"	["Cardinals", 34, 41]
"Colt"	["Red Sox", 40, 23]
"Colten"	["Red Sox", 40, 25]
"Colton"	["Red Sox", 53, 27]
"Conner"	["Cardinals", 25, 41]
"Connor"	["Cardinals", 33, 47]
"Conor"	["Cardinals", 33, 54]
"Conrad"	["Cardinals", 35, 53]
"Cooper"	["Red Sox", 39, 27]
"Cora"	["Cardinals", 31, 46]
"Coraline"	["Red Sox", 55, 33]
"Corbin"	["Cardinals", 33, 49]
"Corey"	["Cardinals", 25, 47]
"Corinne"	["Red Sox", 43, 28]
"Cory"	["Red Sox", 38, 22]
"Courtney"	["Cardinals", 25, 51]
"Craig"	["Cardinals", 33, 50]
"Crew"	["Cardinals", 16, 56]
"Cristian"	["Red Sox", 48, 31]
"Cristina"	["Cardinals", 20, 56]
"Cristopher"	["Red Sox", 52, 24]
"Crosby"	["Cardinals", 18, 51]
"Cruz"	["Cardinals", 31, 49]
"Crystal"	["Red Sox", 43, 30]
"Cullen"	["Cardinals", 30, 52]
"Curtis"	["Red Sox", 54, 28]
"Cynthia"	["Red Sox", 37, 31]
"Cyrus"	["Red Sox", 54, 32]
"Dahlia"	["Cardinals", 27, 52]
"Daisy"	["Red Sox", 50, 32]
"Dakota"	["Red Sox", 49, 35]
"Dalilah"	["Cardinals", 25, 44]
"Dallas"	["Cardinals", 30, 33]
"Dalton"	["Cardinals", 37, 44]
"Damari"	["Cardinals", 25, 47]
"Damarion"	["Red Sox", 50, 22]
"Damian"	["Red Sox", 66, 29]
"Damien"	["Cardinals", 32, 46]
"Damion"	["Cardinals", 21, 53]
"Damon"	["Red Sox", 41, 26]
"Dana"	["Red Sox", 55, 26]
"Dane"	["Red Sox", 49, 28]
"Dangelo"	["Red Sox", 43, 25]
"Danica"	["Cardinals", 32, 67]
"Daniel"	["Red Sox", 43, 33]
"Daniela"	["Red Sox", 43, 23]
"Daniella"	["Cardinals", 29, 41]
"Danielle"	["Red Sox", 41, 29]
"Danika"	["Cardinals", 24, 47]
"Danna"	["Cardinals", 27, 44]
"Danny"	["Cardinals", 22, 45]
"Dante"	["Cardinals", 20, 39]
"Daphne"	["Cardinals", 33, 39]
"Darian"	["Red Sox", 38, 31]
"Dariel"	["Red Sox", 36, 21]
"Darien"	["Red Sox", 40, 20]
"Dario"	["Cardinals", 26, 62]
"Darius"	["Cardinals", 39, 50]
"Darnell"	["Cardinals", 22, 59]
"Darrell"	["Red Sox", 48, 29]
"Darren"	["Red Sox", 46, 36]
"Darryl"	["Red Sox", 52, 31]
"Darwin"	["Cardinals", 32, 47]
"Davian"	["Red Sox", 47, 31]
"David"	["Cardinals", 29, 57]
"Davin"	["Red Sox", 41, 21]
"Davion"	["Red Sox", 42, 22]
"Davis"	["Cardinals", 35, 52]
"Davon"	["Red Sox", 60, 38]
"Dawson"	["Cardinals", 35, 61]
"Dax"	["Red Sox", 49, 37]
"Daxton"	["Red Sox", 42, 30]
"Dayana"	["Cardinals", 39, 64]
"Dayton"	["Cardinals", 33, 54]
"Deacon"	["Cardinals", 25, 49]
"Dean"	["Red Sox", 54, 22]
"Deandre"	["Red Sox", 45, 44]
"Deangelo"	["Cardinals", 21, 58]
"Deanna"	["Red Sox", 51, 27]
"Deborah"	["Red Sox", 48, 44]
"Declan"	["Red Sox", 58, 30]
"Deegan"	["Cardinals", 20, 60]
"Delaney"	["Red Sox", 46, 30]
"Delilah"	["Red Sox", 41, 27]
"Demarcus"	["Red Sox", 39, 37]
"Demetrius"	["Cardinals", 20, 48]
"Demi"	["Cardinals", 29, 47]
"Denise"	["Cardinals", 23, 63]
"Dennis"	["Cardinals", 28, 52]
"Denzel"	["Red Sox", 52, 36]
"Deon"	["Cardinals", 25, 61]
"Derek"	["Red Sox", 49, 36]
"Derick"	["Red Sox", 58, 33]
"Derrick"	["Cardinals", 28, 59]
"Deshawn"	["Red Sox", 54, 33]
"Desiree"	["Red Sox", 43, 35]
"Desmond"	["Red Sox", 55, 34]
"Destinee"	["Cardinals", 28, 46]
"Destiny"	["Cardinals", 37, 51]
"Devan"	["Cardinals", 23, 62]
"Devin"	["Cardinals", 29, 53]
"Devon"	["Cardinals", 33, 46]
"Devyn"	["Red Sox", 33, 29]
"Dexter"	["Cardinals", 32, 43]
"Diamond"	["Red Sox", 57, 51]
"Diana"	["Red Sox", 47, 27]
"Diego"	["Cardinals", 30, 45]
"Dillon"	["Cardinals", 22, 59]
"Dixie"	["Cardinals", 34, 44]
"Dominic"	["Red Sox", 56, 34]
"Dominick"	["Red Sox", 55, 29]
"Dominik"	["Red Sox", 48, 22]
"Dominique"	["Red Sox", 49, 28]
"Donald"	["Cardinals", 30, 51]
"Donovan"	["Red Sox", 47, 30]
"Donte"	["Cardinals", 24, 62]
"Dorian"	["Cardinals", 29, 60]
"Dorothy"	["Cardinals", 33, 52]
"Douglas"	["Cardinals", 35, 53]
"Drake"	["Cardinals", 33, 35]
"Draven"	["Red Sox", 46, 27]
"Drew"	["Red Sox", 45, 36]
"Dulce"	["Cardinals", 40, 51]
"Duncan"	["Red Sox", 48, 26]
"Dustin"	["Red Sox", 46, 33]
"Dwayne"	["Red Sox", 44, 27]
"Dylan"	["Cardinals", 28, 49]
"Ean"	["Red Sox", 48, 27]
"Easton"	["Red Sox", 47, 35]
"Eddie"	["Red Sox", 41, 38]
"Eden"	["Cardinals", 30, 58]
"Edgar"	["Cardinals", 29, 54]
"Edison"	["Cardinals", 35, 51]
"Edith"	["Red Sox", 58, 23]
"Eduardo"	["Cardinals", 24, 54]
"Edward"	["Red Sox", 53, 23]
"Edwin"	["Cardinals", 24, 45]
"Efrain"	["Red Sox", 52, 33]
"Eileen"	["Red Sox", 62, 26]
"Elaina"	["Red Sox", 47, 36]
"Elaine"	["Cardinals", 34, 42]
"Eleanor"	["Cardinals", 35, 51]
"Elena"	["Red Sox", 56, 27]
"Eli"	["Cardinals", 30, 60]
"Elian"	["Red Sox", 48, 30]
"Eliana"	["Cardinals", 26, 46]
"Elianna"	["Cardinals", 27, 50]
"Elias"	["Red Sox", 60, 39]
"Elijah"	["Cardinals", 36, 52]
"Elin"	["Red Sox", 37, 30]
"Eliot"	["Red Sox", 44, 22]
"Elisa"	["Red Sox", 51, 34]
"Elisabeth"	["Cardinals", 21, 54]
"Elise"	["Cardinals", 28, 47]
"Eliseo"	["Red Sox", 51, 38]
"Elisha"	["Red Sox", 49, 30]
"Elissa"	["Red Sox", 53, 36]
"Eliza"	["Cardinals", 24, 57]
"Elizabeth"	["Red Sox", 47, 31]
"Ella"	["Cardinals", 25, 58]
"Elle"	["Cardinals", 27, 52]
"Ellen"	["Red Sox", 42, 27]
"Elliana"	["Red Sox", 50, 30]
"Ellie"	["Red Sox", 44, 39]
"Elliot"	["Cardinals", 19, 40]
"Elliott"	["Red Sox", 63, 28]
"Ellis"	["Cardinals", 23, 50]
"Eloise"	["Cardinals", 39, 61]
"Elsa"	["Red Sox", 43, 32]
"Elsie"	["Cardinals", 26, 42]
"Elyse"	["Cardinals", 24, 38]
"Emanuel"	["Red Sox", 56, 30]
"Ember"	["Red Sox", 53, 38]
"Emelia"	["Cardinals", 28, 42]
"Emely"	["Cardinals", 22, 61]
"Emerson"	["Red Sox", 46, 37]
"Emersyn"	["Red Sox", 48, 32]
"Emery"	["Red Sox", 47, 36]
"Emilee"	["Cardinals", 28, 48]
"Emilia"	["Red Sox", 39, 35]
"Emiliano"	["Red Sox", 45, 37]
"Emilie"	["Red Sox", 58, 22]
"Emilio"	["Cardinals", 24, 43]
"Emily"	["Red Sox", 49, 31]
"Emma"	["Red Sox", 52, 25]
"Emmalee"	["Red Sox", 47, 32]
"Emmaline"	["Cardinals", 29, 59]
"Emmalyn"	["Red Sox", 39, 34]
"Emmalynn"	["Red Sox", 43, 37]
